COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG86681	UBE2N	ENSG00000177889.9	7334	12492	n	n
COSG87870	AC079809.1	ENSG00000224104.1			n	n
COSG87880	SLC2A14	ENSG00000173262.11	144195	18301	n	n
COSG87888	AP001425.1	ENSG00000270835.2			n	n
COSG87892	HIPK3	ENSG00000110422.11	10114	4915	n	n
COSG87896	AC005252.3	ENSG00000280415.1			n	n
COSG89060	HSPA8P11	ENSG00000248159.1		44926	n	n
COSG89063	CR392039.4	ENSG00000279720.1			n	n
COSG89072	AC024587.2	ENSG00000249959.5			n	n
COSG89086	SMIM2-AS1	ENSG00000227258.5		42674	n	n
COSG89103	RPL12P6	ENSG00000243824.1		23538	n	n
COSG85488	AC137894.1	ENSG00000254739.1			n	n
COSG85517	ZNF415P1	ENSG00000266127.1		49869	n	n
COSG85518	ZCCHC12	ENSG00000174460.3	170261	27273	n	n
COSG86698	AC067817.2	ENSG00000253829.1			n	n
COSG86704	R3HDM2P1	ENSG00000248735.2		44056	n	n
COSG86708	TMEM250	ENSG00000238227.7	90120	31009	n	n
COSG86729	AC117377.1	ENSG00000258039.2			n	n
COSG86733	C13orf46	ENSG00000283199.2	100507747	53786	n	n
COSG86738	AC009137.1	ENSG00000260999.1			n	n
COSG86740	GNPAT	ENSG00000116906.12	8443	4416	n	n
COSG86748	DCST2	ENSG00000163354.14	127579	26562	n	n
COSG86749	RARRES2P6	ENSG00000261010.1		48705	n	n
COSG86753	AC017037.2	ENSG00000250475.1			n	n
COSG86764	CEND1	ENSG00000184524.5	51286	24153	n	n
COSG87916	AC004466.2	ENSG00000274737.1			n	n
COSG87942	TXNP7	ENSG00000217268.1		49487	n	n
COSG87963	SEC61A2	ENSG00000065665.20	55176	17702	n	n
COSG87972	SMARCE1P4	ENSG00000253650.1		39735	n	n
COSG89117	AC244205.1	ENSG00000240040.6			n	n
COSG89121	ZNF830	ENSG00000198783.5	91603	28291	n	n
COSG89124	FCRLB	ENSG00000162746.14	127943	26431	n	n
COSG89128	MIR4663	ENSG00000266324.1		41623	n	n
COSG89145	RF00019	ENSG00000223271.1			n	n
COSG89154	AC011297.1	ENSG00000273906.1			n	n
COSG89170	SLC25A31	ENSG00000151475.5	83447	25319	n	n
COSG85563	LINC01946	ENSG00000223647.1		52770	n	n
COSG85567	AC068790.4	ENSG00000270048.1			n	n
COSG85575	RPL23AP73	ENSG00000244283.1		36443	n	n
COSG85589	BUB3	ENSG00000154473.17	9184	1151	n	n
COSG85613	AC027644.1	ENSG00000232546.1			n	n
COSG86792	ATP4A	ENSG00000105675.8	495	819	n	n
COSG86830	AL713922.2	ENSG00000276662.1			n	n
COSG86845	CRYZP1	ENSG00000233025.1		2421	n	n
COSG88000	GPR4	ENSG00000177464.4	2828	4497	n	n
COSG88004	CCDC195	ENSG00000283428.1		53441	n	n
COSG88022	LINC00941	ENSG00000235884.3		48635	n	n
COSG88025	LINC01498	ENSG00000247213.6		51164	n	n
COSG88033	DNAH14	ENSG00000185842.15	127602	2945	n	n
COSG88042	RN7SL653P	ENSG00000239794.3		46669	n	n
COSG88051	RN7SKP190	ENSG00000251888.1		45914	n	n
COSG89200	OR7K1P	ENSG00000258275.1		15366	n	n
COSG89209	ANKRD49	ENSG00000168876.8	54851	25970	n	n
COSG89217	SNORA22C	ENSG00000207344.1		52197	n	n
COSG85646	AL591866.1	ENSG00000229519.2			n	n
COSG85690	AL355355.2	ENSG00000234175.1			n	n
COSG86849	CFB	ENSG00000243649.8	629	1037	n	n
COSG86850	MTX1	ENSG00000173171.14	4580	7504	n	n
COSG86854	AMELY	ENSG00000099721.13	266	462	n	n
COSG86873	LINC00680	ENSG00000215190.9		44417	n	n
COSG86877	WDR66	ENSG00000158023.9	144406	28506	n	n
COSG86889	AC009055.2	ENSG00000260834.1			n	n
COSG86890	MED14	ENSG00000180182.10	9282	2370	n	n
COSG86901	ADGRG7	ENSG00000144820.7	84873	19241	n	n
COSG88056	COPRS	ENSG00000172301.10	55352	28848	n	n
COSG88070	ZNF627	ENSG00000198551.9	199692	30570	n	n
COSG88073	AC003685.1	ENSG00000229012.1			n	n
COSG88077	SUGT1P1	ENSG00000226823.1		19384	n	n
COSG88091	AL807761.1	ENSG00000223615.2			n	n
COSG88093	RPL5P18	ENSG00000220744.1		36640	n	n
COSG89266	AC023347.1	ENSG00000235774.1			n	n
COSG89267	AC015722.1	ENSG00000259041.1			n	n
COSG89272	AC087071.1	ENSG00000229196.3			n	n
COSG89275	DPY19L2	ENSG00000177990.11	283417	19414	n	n
COSG89288	RNU6-606P	ENSG00000207452.1		47569	n	n
COSG89293	AL031727.1	ENSG00000226396.1			n	n
COSG89294	ABHD17AP5	ENSG00000263366.2		34043	n	n
COSG85735	RNU6-206P	ENSG00000206843.1		47169	n	n
COSG85751	TBC1D13	ENSG00000107021.15	54662	25571	n	n
COSG85753	AC019209.1	ENSG00000256256.1			n	n
COSG85783	RPS17P13	ENSG00000224706.1		36664	n	n
COSG85785	AC106799.2	ENSG00000248973.1			n	n
COSG86955	AL138787.1	ENSG00000232862.5			n	n
COSG86966	SV2A	ENSG00000159164.9	9900	20566	n	n
COSG86981	AC011405.1	ENSG00000249593.6			n	n
COSG86986	LNCNEF	ENSG00000237396.1		50656	n	n
COSG88142	ZSWIM5P1	ENSG00000235430.1		43768	n	n
COSG88143	AC019155.1	ENSG00000205898.3			n	n
COSG88164	SUPT7L	ENSG00000119760.15	9913	30632	n	n
COSG88167	DPP9	ENSG00000142002.17	91039	18648	n	n
COSG88174	AC123768.4	ENSG00000276724.1			n	n
COSG88179	OR4E1	ENSG00000276240.2	26687	8296	n	n
COSG88185	CNPPD1	ENSG00000115649.15	27013	25220	n	n
COSG88187	MTCO1P52	ENSG00000229760.1		52117	n	n
COSG88195	NKRF	ENSG00000186416.13	55922	19374	n	n
COSG89346	AL161740.1	ENSG00000236341.1			n	n
COSG89354	AC069287.2	ENSG00000254559.1			n	n
COSG89356	RNU6-547P	ENSG00000252082.1		47510	n	n
COSG89371	MIR4438	ENSG00000265734.1		41555	n	n
COSG89372	SPTSSB	ENSG00000196542.8	165679	24045	n	n
COSG89375	FP671120.2	ENSG00000279967.1			n	n
COSG89378	AP003385.2	ENSG00000254883.1			n	n
COSG89389	AP000347.1	ENSG00000272578.5			n	n
COSG89394	AL353684.1	ENSG00000277646.1			n	n
COSG89404	HMGB3P13	ENSG00000214288.4		39305	n	n
COSG85798	AL591846.2	ENSG00000237605.1			n	n
COSG85806	AL772307.1	ENSG00000284116.1			n	n
COSG85811	AC092431.2	ENSG00000232228.1			n	n
COSG87015	TRAV37	ENSG00000259068.1		12136	n	n
COSG87024	RN7SKP216	ENSG00000222982.1		45940	n	n
COSG87045	IGHV7-81	ENSG00000211979.2		5669	n	n
COSG87047	AC107464.3	ENSG00000272927.1			n	n
COSG87049	ANKRD27	ENSG00000105186.15	84079	25310	n	n
COSG87052	SULT1C4	ENSG00000198075.9	27233	11457	n	n
COSG87060	ADRA1B	ENSG00000170214.4	147	278	n	n
COSG87064	AL590302.2	ENSG00000236627.1			n	n
COSG87066	AC083806.3	ENSG00000275467.1			n	n
COSG88202	AP001554.1	ENSG00000270403.1			n	n
COSG88206	INO80C	ENSG00000153391.15	125476	26994	n	n
COSG88231	AC016257.1	ENSG00000257999.1			n	n
COSG88236	SNORD118	ENSG00000200463.1		32952	n	n
COSG88248	AL512444.1	ENSG00000225952.1			n	n
COSG89436	BCAS3	ENSG00000141376.22	54828	14347	n	n
COSG89440	AC079905.2	ENSG00000257146.1			n	n
COSG89461	ARHGAP19	ENSG00000213390.10	84986	23724	n	n
COSG85871	FO393418.1	ENSG00000223695.1			n	n
COSG85898	AC097375.2	ENSG00000249818.1			n	n
COSG85917	MIR548B	ENSG00000207982.1		32799	n	n
COSG85929	MIR3167	ENSG00000266215.1		38242	n	n
COSG85941	RF00096	ENSG00000207430.1			n	n
COSG85942	AC092919.1	ENSG00000240497.2			n	n
COSG87084	HNRNPCP8	ENSG00000254748.1		48819	n	n
COSG87088	MIR129-1	ENSG00000207705.2		31512	n	n
COSG87100	AL162734.1	ENSG00000227673.1			n	n
COSG87138	RN7SL100P	ENSG00000240306.2		46116	n	n
COSG88279	MINOS1P4	ENSG00000248117.1		44094	n	n
COSG88291	TGFB3	ENSG00000119699.7	7043	11769	n	n
COSG88304	YEATS4	ENSG00000127337.6	8089	24859	n	n
COSG88314	C2orf27B	ENSG00000186825.5	408029	33824	n	n
COSG88315	MTND2P14	ENSG00000240796.1		42115	n	n
COSG88320	ANGPTL8	ENSG00000130173.13	55908	24933	n	n
COSG88326	DDX6	ENSG00000110367.11	1656	2747	y	n
COSG88342	ZNF670-ZNF695	ENSG00000135747.11		49200	n	n
COSG88345	AC006207.1	ENSG00000283138.1			n	n
COSG89501	ZP3	ENSG00000188372.14	7784	13189	n	n
COSG89502	RF00019	ENSG00000200419.1			n	n
COSG89511	USP9YP28	ENSG00000224151.1		38764	n	n
COSG89555	FAM210B	ENSG00000124098.9	116151	16102	n	n
COSG85954	EXD3	ENSG00000187609.15	54932	26023	n	n
COSG85956	RN7SL717P	ENSG00000240302.3		46733	n	n
COSG85990	AC138869.2	ENSG00000260419.1			n	n
COSG85995	UBXN11	ENSG00000158062.20	91544	30600	n	n
COSG86009	LINC00562	ENSG00000260388.2		43706	n	n
COSG86012	BX005266.2	ENSG00000226007.2			n	n
COSG86014	PRMT7	ENSG00000132600.16	54496	25557	n	n
COSG86018	AC093815.1	ENSG00000248716.2			n	n
COSG87161	AC110058.1	ENSG00000255029.1			n	n
COSG87188	RAB3B	ENSG00000169213.6	5865	9778	n	n
COSG87212	ATP5MC2P3	ENSG00000230482.1		42187	n	n
COSG87214	OR2M7	ENSG00000177186.3	391196	19594	n	n
COSG88389	MTA1	ENSG00000182979.17	9112	7410	n	n
COSG88393	RNU6-489P	ENSG00000277341.1		47452	n	n
COSG89616	SNORD115-21	ENSG00000199833.1		33040	n	n
COSG86040	AC021127.1	ENSG00000248719.1			n	n
COSG86043	RF00019	ENSG00000202182.1			n	n
COSG86044	RNU1-15P	ENSG00000195024.2		10140	n	n
COSG86050	TREML1	ENSG00000161911.11	340205	20434	n	n
COSG86081	ARHGAP33	ENSG00000004777.18	115703	23085	n	n
COSG86084	AL355816.2	ENSG00000273221.1			n	n
COSG87247	LINC01501	ENSG00000229613.1		27988	n	n
COSG87261	RNU6-286P	ENSG00000207476.1		47249	n	n
COSG87262	AC025048.3	ENSG00000267295.1			n	n
COSG87266	KCNQ5-AS1	ENSG00000229154.1		40323	n	n
COSG87271	RF00019	ENSG00000201421.1			n	n
COSG88429	MCMDC2	ENSG00000178460.17	157777	26368	n	n
COSG88447	C7orf65	ENSG00000221845.4	401335	34432	n	n
COSG88449	MIR579	ENSG00000207956.1		32835	n	n
COSG88451	AC006206.2	ENSG00000256417.1			n	n
COSG88487	MFSD13A	ENSG00000138111.14	79847	26196	n	n
COSG88497	RPS27AP6	ENSG00000224800.1		36236	n	n
COSG89648	AC116345.2	ENSG00000250747.1			n	n
COSG89664	HDAC2	ENSG00000196591.11	3066	4853	n	n
COSG89673	RPL23AP17	ENSG00000215893.3		35904	n	n
COSG86110	LINC01511	ENSG00000250584.2		51200	n	n
COSG86113	TEX10	ENSG00000136891.13	54881	25988	n	n
COSG86125	AC008543.5	ENSG00000267646.1			n	n
COSG86143	AC134349.2	ENSG00000256981.1			n	n
COSG86154	AL358215.1	ENSG00000270380.1			n	n
COSG86158	AC026316.2	ENSG00000239739.1			n	n
COSG88528	AC007494.2	ENSG00000260744.1			n	n
COSG88529	RPL7P10	ENSG00000229752.1		36599	n	n
COSG88551	CTSE	ENSG00000196188.10	1510	2530	n	n
COSG88558	HDAC1	ENSG00000116478.11	3065	4852	n	n
COSG88561	AC007283.1	ENSG00000234431.2			n	n
COSG88567	RBM24	ENSG00000112183.14	221662	21539	n	n
COSG88569	SAV1	ENSG00000151748.14	60485	17795	n	n
COSG89770	RAC1P4	ENSG00000237584.1		31113	n	n
COSG89771	AC012213.4	ENSG00000271830.1			n	n
COSG89779	UBL5P1	ENSG00000248418.2		44639	n	n
COSG86202	ZBTB11-AS1	ENSG00000256628.3		48573	n	n
COSG87397	SEPT7P3	ENSG00000226102.3		38038	n	n
COSG87399	Z77249.1	ENSG00000225949.1			n	n
COSG88599	LINC00363	ENSG00000232849.1		42684	n	n
COSG88600	CCDC78	ENSG00000162004.16	124093	14153	n	n
COSG88611	DNAJB5-DT	ENSG00000281491.1		49846	n	n
COSG88626	RF00019	ENSG00000275904.1			n	n
COSG88633	RN7SL478P	ENSG00000277946.1		46494	n	n
COSG89827	USP20	ENSG00000136878.12	10868	12619	n	n
COSG89843	TWIST2	ENSG00000233608.3	117581	20670	n	n
COSG86295	PRB3	ENSG00000197870.12	5544	9339	n	n
COSG86304	OR7E37P	ENSG00000215480.4		8410	n	n
COSG87478	AL118516.1	ENSG00000260708.1			n	n
COSG87492	RF00019	ENSG00000201501.1			n	n
COSG87497	AL109811.1	ENSG00000226849.1			n	n
COSG87498	SREK1	ENSG00000153914.15	140890	17882	n	n
COSG88666	ARL5AP2	ENSG00000236818.1		43937	n	n
COSG88687	RAB33B	ENSG00000172007.5	83452	16075	n	n
COSG88688	AL592161.1	ENSG00000231080.1			n	n
COSG88707	BIRC2	ENSG00000110330.8	329	590	n	n
COSG89888	MIR4795	ENSG00000264119.1		41757	n	n
COSG89910	AC116003.2	ENSG00000266774.1			n	n
COSG101662	SH3BP4	ENSG00000130147.15	23677	10826	n	n
COSG101672	LINC01076	ENSG00000225105.2		49119	n	n
COSG101674	AC098487.1	ENSG00000248161.5			n	n
COSG101690	LINC02001	ENSG00000267321.2		52836	n	n
COSG101692	AC092316.1	ENSG00000268618.1			n	n
COSG101709	AC018557.2	ENSG00000260558.1			n	n
COSG102726	GRIFIN	ENSG00000275572.1	402635	4577	n	n
COSG102743	C9orf24	ENSG00000164972.12	84688	19919	n	n
COSG102760	IGHVII-51-2	ENSG00000253941.1		5684	n	n
COSG102765	AC012044.1	ENSG00000270434.1			n	n
COSG104040	GHSR	ENSG00000121853.3	2693	4267	n	n
COSG104059	AC068724.4	ENSG00000285117.1			n	n
COSG104105	PRSS38	ENSG00000185888.5	339501	29625	n	n
COSG100527	ENPP7P11	ENSG00000250942.1		48694	n	n
COSG100535	FZD1	ENSG00000157240.3	8321	4038	n	n
COSG100547	RPS6P14	ENSG00000225482.1		36738	n	n
COSG100548	MIR302E	ENSG00000221703.1		35348	n	n
COSG100573	MIR152	ENSG00000207947.3		31538	n	n
COSG100587	UCHL3	ENSG00000118939.17	7347	12515	n	n
COSG100588	AL034376.2	ENSG00000260673.1			n	n
COSG100593	LINC01649	ENSG00000228127.2		52436	n	n
COSG100598	OR52M2P	ENSG00000226616.1		15226	n	n
COSG102798	SNX33	ENSG00000173548.8	257364	28468	n	n
COSG102802	AL512791.2	ENSG00000275198.1			n	n
COSG102828	RF00019	ENSG00000207265.1			n	n
COSG102948	IGHA2	ENSG00000211890.4		5479	n	n
COSG102961	RNU1-55P	ENSG00000202380.1		48397	n	n
COSG102985	MAP9	ENSG00000164114.18	79884	26118	n	n
COSG102994	KCTD9P3	ENSG00000187988.5		49912	n	n
COSG104151	HNRNPAB	ENSG00000197451.11	3182	5034	n	n
COSG104171	LINC00571	ENSG00000223685.5		43721	n	n
COSG104174	RF00017	ENSG00000277396.1			n	n
COSG100602	TRIP10	ENSG00000125733.17	9322	12304	n	n
COSG100605	CYMP	ENSG00000240194.7		2588	n	n
COSG100660	HMGN2P22	ENSG00000227259.2		39387	n	n
COSG102853	AC020910.1	ENSG00000268683.1			n	n
COSG102855	MIR329-1	ENSG00000207761.3		32050	n	n
COSG102861	CYYR1	ENSG00000166265.11	116159	16274	n	n
COSG102864	NDUFB3	ENSG00000119013.8	4709	7698	n	n
COSG102888	PSEN2	ENSG00000143801.16	5664	9509	n	n
COSG102907	RAET1E-AS1	ENSG00000223701.3		48994	n	n
COSG103056	PRDX2P3	ENSG00000249140.1		44968	n	n
COSG99561	AC090287.1	ENSG00000266190.1			n	n
COSG99589	HDAC3	ENSG00000171720.9	8841	4854	n	n
COSG99605	AC010333.2	ENSG00000259899.1			n	n
COSG99606	AC027701.1	ENSG00000254123.1			n	n
COSG99609	AC079942.1	ENSG00000249725.1			n	n
COSG99624	FOXD1-AS1	ENSG00000247993.2		50658	n	n
COSG100687	CELSR3	ENSG00000008300.16	1951	3230	n	n
COSG100693	AP000358.1	ENSG00000237601.1			n	n
COSG100710	RF00561	ENSG00000253065.1			n	n
COSG100721	AC145285.6	ENSG00000275807.1			n	n
COSG101745	IGHV1OR16-3	ENSG00000260048.2		5572	n	n
COSG101746	AC021006.1	ENSG00000242729.1			n	n
COSG101748	FAM19A4	ENSG00000163377.15	151647	21591	n	n
COSG101752	NPY2R	ENSG00000185149.5	4887	7957	n	n
COSG101760	OR4R1P	ENSG00000255215.1		14798	n	n
COSG101778	CRIP1P3	ENSG00000227109.1		44518	n	n
COSG101788	RANP1	ENSG00000236603.2		21631	n	n
COSG103082	AL355478.1	ENSG00000235221.1			n	n
COSG103090	KRT18P66	ENSG00000235626.2		48893	n	n
COSG103095	LIPC-AS1	ENSG00000259293.1		52294	n	n
COSG103102	ZNF736P1Y	ENSG00000223978.1		37726	n	n
COSG103134	AC048344.2	ENSG00000257852.1			n	n
COSG103139	USP18	ENSG00000184979.9	11274	12616	n	n
COSG99644	AL161756.3	ENSG00000284664.1			n	n
COSG99667	AL139220.2	ENSG00000230615.6			n	n
COSG99668	HNRNPA1P49	ENSG00000233231.1		48779	n	n
COSG99677	AC245407.3	ENSG00000277655.1			n	n
COSG99685	C5orf64	ENSG00000178722.12	285668	26744	n	n
COSG99694	AC004492.1	ENSG00000272072.1			n	n
COSG100756	AKT1	ENSG00000142208.15	207	391	y	y
COSG100778	PCDHGB6	ENSG00000253305.2	56100	8713	n	n
COSG100783	FNDC10	ENSG00000228594.3	643988	42951	n	n
COSG100787	RF00019	ENSG00000199668.1			n	n
COSG100788	KRT8P25	ENSG00000239829.1		33377	n	n
COSG100810	RNU6-461P	ENSG00000201065.1		47424	n	n
COSG100825	RNU6-1204P	ENSG00000200818.1		48167	n	n
COSG101820	RNA5SP51	ENSG00000201620.1		42828	n	n
COSG101838	RPL24P7	ENSG00000215016.2		36862	n	n
COSG101839	RNF26	ENSG00000173456.4	79102	14646	n	n
COSG101840	AL139254.2	ENSG00000284641.1			n	n
COSG101846	DEFB105A	ENSG00000186562.7	245908	18087	n	n
COSG101854	AC104794.3	ENSG00000260476.1			n	n
COSG101870	CHPF2	ENSG00000033100.16	54480	29270	n	n
COSG103152	CHRM3-AS1	ENSG00000234601.1		40150	n	n
COSG103172	AF064858.3	ENSG00000237721.1			n	n
COSG103173	MTND5P30	ENSG00000233039.1		42292	n	n
COSG103216	BCL7B	ENSG00000106635.7	9275	1005	n	n
COSG99706	EPPIN	ENSG00000101448.13	57119	15932	n	n
COSG99713	RPL14P1	ENSG00000139239.7		31384	n	n
COSG99732	LINC01710	ENSG00000225561.1		52498	n	n
COSG99742	AL589740.1	ENSG00000271860.6			n	n
COSG99755	RF00017	ENSG00000275319.1			n	n
COSG99770	RN7SKP120	ENSG00000222693.1		45844	n	n
COSG101896	MIR5003	ENSG00000265160.1		43512	n	n
COSG101927	DYNLRB2	ENSG00000168589.14	83657	15467	n	n
COSG103221	AC087241.1	ENSG00000250166.2			n	n
COSG103235	RF00019	ENSG00000200241.1			n	n
COSG103249	PLEKHG4	ENSG00000196155.12	25894	24501	n	n
COSG103254	AP001880.2	ENSG00000256863.1			n	n
COSG103257	FTH1P1	ENSG00000232273.1		3979	n	n
COSG103261	MALT1	ENSG00000172175.12	10892	6819	y	n
COSG103267	AC106886.1	ENSG00000260082.1			n	n
COSG103281	AL031658.2	ENSG00000278012.1			n	n
COSG103290	ZNF726	ENSG00000213967.10	730087	32462	n	n
COSG99771	SUCLG2P2	ENSG00000236349.1		43997	n	n
COSG99774	AC120498.3	ENSG00000260403.1			n	n
COSG99811	AC015871.4	ENSG00000279394.1			n	n
COSG99832	ST13P15	ENSG00000243759.1		38850	n	n
COSG100941	ACSM6	ENSG00000173124.14	142827	31665	n	n
COSG100957	AC090971.2	ENSG00000259201.1			n	n
COSG100964	AC009945.1	ENSG00000234356.1			n	n
COSG100978	SMIM18	ENSG00000253457.2	100507341	42973	n	n
COSG101997	STX18	ENSG00000168818.9	53407	15942	n	n
COSG102005	RPL36AP36	ENSG00000237540.1		36326	n	n
COSG102011	NCAM1	ENSG00000149294.16	4684	7656	n	n
COSG102012	LINC02197	ENSG00000250387.2		53063	n	n
COSG102016	LINGO3	ENSG00000220008.3	645191	21206	n	n
COSG102019	HIST1H2BF	ENSG00000277224.2	8343	4752	n	n
COSG102029	RF00017	ENSG00000213167.3			n	n
COSG103355	LINC01747	ENSG00000230400.2		52536	n	n
COSG103357	SLAMF1	ENSG00000117090.14	6504	10903	n	n
COSG103366	AL627309.1	ENSG00000238009.6			n	n
COSG99862	HSPB9	ENSG00000260325.1	94086	30589	n	n
COSG99866	RBM17P3	ENSG00000237207.2		50368	n	n
COSG99879	AL122127.1	ENSG00000270371.1			n	n
COSG99894	VWA2	ENSG00000165816.12	340706	24709	n	n
COSG99913	WDR91	ENSG00000105875.13	29062	24997	n	n
COSG99914	IGF1R	ENSG00000140443.13	3480	5465	n	n
COSG99915	SLC25A14P1	ENSG00000213608.5		43856	n	n
COSG100996	AC023300.2	ENSG00000277749.1			n	n
COSG101049	NDUFB10	ENSG00000140990.14	4716	7696	n	n
COSG102062	AC026316.5	ENSG00000285218.1			n	n
COSG102071	AC005703.3	ENSG00000265445.1			n	n
COSG102107	RPS15AP34	ENSG00000241808.1		35609	n	n
COSG103371	LMO7-AS1	ENSG00000261105.5		50277	n	n
COSG103376	AL158047.1	ENSG00000235377.1			n	n
COSG103390	RN7SL82P	ENSG00000278696.1		46098	n	n
COSG103395	AC084018.2	ENSG00000274292.1			n	n
COSG103416	AC091808.1	ENSG00000234191.1			n	n
COSG99930	CEP41	ENSG00000106477.18	95681	12370	n	n
COSG99940	CSNK1D	ENSG00000141551.14	1453	2452	n	n
COSG99944	AL122023.1	ENSG00000278396.1			n	n
COSG99968	ENPP7P7	ENSG00000273819.1		48690	n	n
COSG99971	AC023090.1	ENSG00000267015.1			n	n
COSG99987	RCL1	ENSG00000120158.11	10171	17687	n	n
COSG101054	MIR6803	ENSG00000278264.1		50035	n	n
COSG101070	AC079780.1	ENSG00000236654.2			n	n
COSG101095	MAB21L2	ENSG00000181541.5	10586	6758	n	n
COSG101114	AC005702.3	ENSG00000274378.1			n	n
COSG101116	FAM181A	ENSG00000140067.6	90050	20491	n	n
COSG102163	AC090617.3	ENSG00000262533.1			n	n
COSG103459	SCOC-AS1	ENSG00000196951.10		50601	n	n
COSG103466	AC010531.2	ENSG00000243705.1			n	n
COSG103475	EDN2	ENSG00000127129.9	1907	3177	n	n
COSG103491	TRIM31	ENSG00000204616.10	11074	16289	n	n
COSG103500	LACTBL1	ENSG00000215906.8	646262	35445	n	n
COSG103508	SP100	ENSG00000067066.16	6672	11206	n	n
COSG103516	LCTL	ENSG00000188501.11	197021	15583	n	n
COSG99994	AC005798.1	ENSG00000248188.2			n	n
COSG100008	TNRC6A	ENSG00000090905.18	27327	11969	n	n
COSG100010	AC136428.1	ENSG00000259680.5			n	n
COSG100033	AC104333.1	ENSG00000235182.1			n	n
COSG100042	NPS	ENSG00000214285.2	594857	33940	n	n
COSG100047	RNA5SP237	ENSG00000222346.1		43137	n	n
COSG101195	GNB4	ENSG00000114450.9	59345	20731	n	n
COSG101197	AC010547.4	ENSG00000261611.5			n	n
COSG102184	TARS2	ENSG00000143374.16	80222	30740	n	n
COSG102215	BSDC1	ENSG00000160058.18	55108	25501	n	n
COSG102218	MTBP	ENSG00000172167.7	27085	7417	n	n
COSG103519	AC018521.7	ENSG00000266821.1			n	n
COSG103521	OR5K4	ENSG00000196098.2	403278	31291	n	n
COSG103535	AC068254.2	ENSG00000279221.1			n	n
COSG103550	CHURC1	ENSG00000258289.8	91612	20099	n	n
COSG103563	RPL18AP17	ENSG00000227952.2		39850	n	n
COSG103576	AC093286.1	ENSG00000250013.1			n	n
COSG100072	PKD1P6	ENSG00000250251.6		30070	n	n
COSG100090	DIO1	ENSG00000211452.10	1733	2883	n	n
COSG100112	FRG2C	ENSG00000172969.7	100288801	33626	n	n
COSG100124	TNXB	ENSG00000168477.18	7148	11976	n	n
COSG101219	OR52B6	ENSG00000187747.2	340980	15211	n	n
COSG101249	RN7SL597P	ENSG00000244264.3		46613	n	n
COSG102294	RPL23AP52	ENSG00000230370.1		36723	n	n
COSG103607	MRPS17P3	ENSG00000239226.1		29736	n	n
COSG103614	PRDM9	ENSG00000164256.10	56979	13994	n	n
COSG103617	AL357134.1	ENSG00000232482.2			n	n
COSG103661	TRAV35	ENSG00000211814.1		12134	n	n
COSG103663	AP000821.1	ENSG00000261257.1			n	n
COSG100161	CADM3-AS1	ENSG00000225670.4		40812	n	n
COSG100167	CTBP2P3	ENSG00000267153.1		45195	n	n
COSG100212	TXNP6	ENSG00000234036.4		49486	n	n
COSG101282	CYP20A1	ENSG00000119004.15	57404	20576	n	n
COSG101302	RN7SL65P	ENSG00000243770.3		46081	n	n
COSG101303	MIR3921	ENSG00000264897.1		38936	n	n
COSG101322	RPS6	ENSG00000137154.12	6194	10429	n	n
COSG101343	RPL7P24	ENSG00000240003.2		36715	n	n
COSG102335	OR10AK1P	ENSG00000254807.1		31236	n	n
COSG102342	AL358944.1	ENSG00000255288.1			n	n
COSG102369	AC013270.1	ENSG00000235480.1			n	n
COSG102395	FAM43A	ENSG00000185112.5	131583	26888	n	n
COSG103671	RNU6-1150P	ENSG00000252606.1		48113	n	n
COSG103674	NXT1	ENSG00000132661.3	29107	15913	n	n
COSG103691	CCL5	ENSG00000271503.5	6352	10632	n	n
COSG103697	MIR31HG	ENSG00000171889.3		37187	n	n
COSG103715	KRTAP4-7	ENSG00000240871.5	100132476	18898	n	n
COSG103717	AF238378.1	ENSG00000255273.1			n	n
COSG100221	ELOA2	ENSG00000206181.5	51224	30771	n	n
COSG100249	SLC6A17	ENSG00000197106.6	388662	31399	n	n
COSG100251	IGHV3-48	ENSG00000211964.3		5606	n	n
COSG100252	MIR760	ENSG00000211575.3		33666	n	n
COSG100279	LINC02087	ENSG00000237057.2		52938	n	n
COSG100292	SCGB1D2	ENSG00000124935.3	10647	18396	n	n
COSG101359	KRT38	ENSG00000171360.3	8687	6456	n	n
COSG101362	AC240442.1	ENSG00000274601.1			n	n
COSG101364	AC097374.2	ENSG00000278631.1			n	n
COSG101376	AL121796.1	ENSG00000250681.1			n	n
COSG101391	MIR548F1	ENSG00000221594.1		35305	n	n
COSG101393	CYP3A5	ENSG00000106258.14	1577	2638	n	n
COSG101408	GPR153	ENSG00000158292.6	387509	23618	n	n
COSG102408	AC099541.1	ENSG00000233096.1			n	n
COSG102438	MAGEA12	ENSG00000213401.9	4111	6799	n	n
COSG102448	AC006378.2	ENSG00000278959.1			n	n
COSG102458	AC092140.2	ENSG00000274031.1			n	n
COSG103742	RNU4ATAC10P	ENSG00000252776.1		46896	n	n
COSG103756	IGHV3-11	ENSG00000211941.3		5580	n	n
COSG103757	FP565171.1	ENSG00000283095.1			n	n
COSG103774	ITFG1-AS1	ENSG00000260281.5		51383	n	n
COSG100298	CCNL2P1	ENSG00000248283.2		50855	n	n
COSG100304	SMCR8	ENSG00000176994.10	140775	17921	n	n
COSG100310	AC009518.1	ENSG00000224865.7			n	n
