Drug ID	drug_name	SMILES
DB03600	Capric acid	CCCCCCCCCC(O)=O
DB00114	Pyridoxal phosphate	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00875	Flupentixol	[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F
DB14642	Lypressin	[H]N([H])C(=O)C[C@]1([H])NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N1CCC[C@H]1C(=O)NC([H])(CCCCN)C(=O)NCC(N)=O
DB01303	Oxtriphylline	C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O
DB01069	Promethazine	CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
DB00248	Cabergoline	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB07688	4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE	NS(=O)(=O)C1=CC=C(NC2=CC(OC3CCCCC3)=NC3=NC=NN23)C=C1
DB08642	(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine	COC1=CC(=CC(OC)=C1OC)N(C)C[C@H]1CCC2=C(C1)C(N)=N[C@H](N)N2
DB00583	Levocarnitine	C[N+](C)(C)C[C@H](O)CC([O-])=O
DB11859	Brexanolone	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O
DB00321	Amitriptyline	CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
DB06813	Pralatrexate	NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1
